,href,title,price,size,type,hight,direction,subway,community,address,date,num_count
0,https://wh.lianjia.com/zufang/104101085467.html,世纪江尚 4室2厅 14000元,14000,185平米,4室2厅3卫  ,中楼层 (共57层),南,距地铁2号线江汉路668米,世纪江尚-138套出租中,江汉-前进江汉,52天前发布,0
1,https://wh.lianjia.com/zufang/104101219114.html,三阳金城 3室2厅 5600元,5600,127平米,3室2厅1卫  ,低楼层 (共32层),南,距地铁1号线三阳路426米,三阳金城-47套出租中,江岸-三阳路,4天前发布,0
2,https://wh.lianjia.com/zufang/104101199663.html,银海华庭 1室0厅 2300元,2300,40平米,1室0厅1卫  ,高楼层 (共28层),南,暂无数据,银海华庭-15套出租中,武昌-水果湖,11天前发布,0
3,https://wh.lianjia.com/zufang/104101187540.html,东湖尚郡 3室2厅 9500元,9500,206平米,3室2厅2卫  ,中楼层 (共34层),南 北,距地铁4号线铁机路440米,东湖尚郡-19套出租中,洪山-团结大道,15天前发布,0
4,https://wh.lianjia.com/zufang/104101194337.html,阳光年华 精装3居室 全明格局 家电齐全 居家陪读好房,4800,129平米,3室2厅2卫  整租,低楼层 (共32层),南,距地铁2号线中南路1041米,阳光年华-15套出租中,武昌-中南丁字桥,13天前发布,0
5,https://wh.lianjia.com/zufang/104101223994.html,平安光谷春天 2室2厅 2500元,2500,79平米,2室2厅1卫  ,中楼层 (共33层),南,暂无数据,平安光谷春天-20套出租中,东湖高新-金融港,3天前发布,0
6,https://wh.lianjia.com/zufang/104101225354.html,金地雄楚一号 2室2厅 3200元,3200,90平米,2室2厅1卫  ,低楼层 (共33层),南,暂无数据,金地雄楚一号-59套出租中,东湖高新-关西长职,2天前发布,0
7,https://wh.lianjia.com/zufang/104101225381.html,奥山世纪城CC尚品 3室2厅 3300元,3300,90平米,3室2厅1卫  ,中楼层 (共30层),南,暂无数据,奥山世纪城CC尚品-18套出租中,青山-青山,2天前发布,0
8,https://wh.lianjia.com/zufang/104101225686.html,鑫瑞小城故事 1室1厅 1600元,1600,45平米,1室1厅1卫  ,高楼层 (共18层),南,暂无数据,鑫瑞小城故事-23套出租中,汉阳-王家湾,2天前发布,0
9,https://wh.lianjia.com/zufang/104101224430.html,舞台社区 2室1厅 2800元,2800,66平米,2室1厅1卫  ,中楼层 (共9层),南,距地铁6号线六渡桥123米,舞台社区-9套出租中,江汉-前进江汉,3天前发布,0
10,https://wh.lianjia.com/zufang/104101062287.html,新城丽景B区 3室2厅 1700元,1700,102平米,3室2厅1卫  ,低楼层 (共42层),南 西北,暂无数据,新城丽景B区-35套出租中,汉阳-钟家村,61天前发布,0
